aspect,records,review_status,canonical_aspect,suggested_cluster,reviewed_cluster,suggested_path,ontology_path,thesis_note
occupational health and safety culture,1,needs_review,solar power system projected savings & commitment,Other,Financial Sustainability,,Manual review -> solar power system projected savings & commitment,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
monitoring and audits for iso 45001,1,needs_review,dampak penambangan terhadap spesies,Other,Financial Sustainability,,Manual review -> dampak penambangan terhadap spesies,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
occupational health and safety performance follow-up,1,needs_review,sejarah penambangan,Other,Financial Sustainability,,Manual review -> sejarah penambangan,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
mining safety committee oversight,1,needs_review,sifat sementara dampak penambangan,Other,Financial Sustainability,,Manual review -> sifat sementara dampak penambangan,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
contractor safety management system requirement,1,needs_review,reklamasi dan revegetasi untuk keanekaragaman hayati,Other,Biodiversity & Land,,GRI 304 Biodiversity -> reklamasi dan revegetasi untuk keanekaragaman hayati,"Biodiversity and land-rehabilitation wording should redirect to GRI 101 Biodiversity 2024, which supersedes GRI 304."
worker right to stop unsafe work,1,needs_review,pengembangan pengukuran biodiversitas,Other,Biodiversity & Land,,GRI 101 Biodiversity 2024 -> pengembangan pengukuran biodiversitas,"Biodiversity and land-rehabilitation wording should redirect to GRI 101 Biodiversity 2024, which supersedes GRI 304."
emergency response team support,1,needs_review,luas wiup,Other,Financial Sustainability,,Manual review -> luas wiup,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
"hazard identification, risk assessment, and incident investigation",1,needs_review,pembukaan lahan,Other,Biodiversity & Land,,GRI 304 Biodiversity -> pembukaan lahan,"Existing mapping referenced retired GRI 304, so it was redirected to GRI 101 Biodiversity 2024 per the documentation."
jumlah fatality,1,needs_review,luas lahan direklamasi,Other,Biodiversity & Land,,GRI 304 Biodiversity -> luas lahan direklamasi,"Biodiversity and land-rehabilitation wording should redirect to GRI 101 Biodiversity 2024, which supersedes GRI 304."
tingkat lti,1,needs_review,rehabilitasi das,Other,Financial Sustainability,,Manual review -> rehabilitasi das,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
penghargaan isea untuk ck,1,needs_review,lahan dalam pengelolaan,Other,Biodiversity & Land,,GRI 304 Biodiversity -> lahan dalam pengelolaan,"Existing mapping referenced retired GRI 304, so it was redirected to GRI 101 Biodiversity 2024 per the documentation."
penghargaan zero accident untuk ssb,1,needs_review,capaian reklamasi 2025,Other,Biodiversity & Land,,GRI 101 Biodiversity 2024 -> capaian reklamasi 2025,"Biodiversity and land-rehabilitation wording should redirect to GRI 101 Biodiversity 2024, which supersedes GRI 304."
penghargaan zero accident hours untuk atr,1,needs_review,keterlambatan reklamasi,Other,Biodiversity & Land,,GRI 101 Biodiversity 2024 -> keterlambatan reklamasi,"Biodiversity and land-rehabilitation wording should redirect to GRI 101 Biodiversity 2024, which supersedes GRI 304."
peran komite esg,1,needs_review,perencanaan reklamasi,Other,Biodiversity & Land,,GRI 101 Biodiversity 2024 -> perencanaan reklamasi,"Biodiversity and land-rehabilitation wording should redirect to GRI 101 Biodiversity 2024, which supersedes GRI 304."
ohs management procedures,1,needs_review,report based on materiality assessment,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> report based on materiality assessment,Reporting scope and disclosure framing align with GRI 2 General Disclosures.
incident investigation team formation,1,needs_review,terminology explanation,Other,Financial Sustainability,,Manual review -> terminology explanation,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
komitmen keberagaman dan inklusi,1,needs_review,reporting period and strategic approach,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> reporting period and strategic approach,Reporting scope and disclosure framing align with GRI 2 General Disclosures.
solidarity as key to developing environmentally and socially aware operations,1,needs_review,significant air emissions,Other,Energy & Climate,,GRI 306 Waste / GRI 303 Water -> significant air emissions,"Emissions, GHG, and carbon-performance wording map to GRI 305 Emissions 2016."
successfully overcoming challenges and fulfilling commitment to national infrastructure development,1,needs_review,"e,s,g",Other,Financial Sustainability,,"Manual review -> e,s,g",No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
maintaining cultural and environmental synergies through achievements,1,needs_review,water resource management,Other,Waste & Pollution,,GRI 306 Waste / GRI 303 Water -> water resource management,"Water withdrawal, water management, and effluent topics map to GRI 303 Water and Effluents 2018."
listing of board of commissioners,1,needs_review,water stewardship,Other,Waste & Pollution,,GRI 306 Waste / GRI 303 Water -> water stewardship,"Water withdrawal, water management, and effluent topics map to GRI 303 Water and Effluents 2018."
kebijakan go green,1,needs_review,data management,Other,Governance & Ethics,,Governance / Data and Technology -> data management,Existing governance-oriented mapping was normalized to the canonical GRI 2 path.
penciptaan kawasan industri hijau,1,needs_review,resource efficiency metrics,Other,Financial Sustainability,,Manual review -> resource efficiency metrics,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
penetapan preseden industri bertanggung jawab,1,needs_review,human capital development,Other,Human Capital,,GRI 401-404 Employment and Training -> human capital development,Existing workforce mapping was normalized to the employment standard.
komitmen inovasi esg,1,needs_review,ethical culture & compliance,Other,Governance & Ethics,,GRI 205 Anti-corruption / GRI 2 Governance -> ethical culture & compliance,"Compliance, ethics, whistleblowing, and anti-corruption controls map to GRI 205 Anti-corruption 2016."
pengurangan penggunaan listrik,1,needs_review,esg governance structure,Other,Governance & Ethics,,GRI 205 Anti-corruption / GRI 2 Governance -> esg governance structure,"Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
pengurangan konsumsi bahan bakar,1,needs_review,b40 biodiesel implementation,Other,Financial Sustainability,,Manual review -> b40 biodiesel implementation,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
menjadi preseden industri bertanggung jawab,1,needs_review,operational route optimization,Other,Financial Sustainability,,Manual review -> operational route optimization,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
inisiatif pembangunan berkelanjutan,1,needs_review,air quality monitoring,Other,Waste & Pollution,,GRI 306 Waste / GRI 303 Water -> air quality monitoring,"Water withdrawal, water management, and effluent topics map to GRI 303 Water and Effluents 2018."
gender diversity board,1,needs_review,on-grid solar power installation,Other,Financial Sustainability,,Manual review -> on-grid solar power installation,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
inisiatif penanaman mangrove,1,needs_review,report theme statement,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> report theme statement,Reporting scope and disclosure framing align with GRI 2 General Disclosures.
pemantauan risiko operasional,1,needs_review,company history,Other,Financial Sustainability,,Manual review -> company history,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
komitmen masa depan terhadap pertumbuhan berkelanjutan,1,needs_review,values and principles,Other,Financial Sustainability,,Manual review -> values and principles,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
evaluasi kinerja pengelola,1,needs_review,pembenahan menyeluruh,Other,Financial Sustainability,,Manual review -> pembenahan menyeluruh,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
green industrial zone,1,needs_review,nilai tambah berkelanjutan dan manfaat pemangku kepentingan,Other,Financial Sustainability,,Manual review -> nilai tambah berkelanjutan dan manfaat pemangku kepentingan,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
environmental impact reduction,1,needs_review,restrukturisasi utang dan peluang berkelanjutan,Other,Financial Sustainability,,Manual review -> restrukturisasi utang dan peluang berkelanjutan,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
smart eco-industrial development,1,needs_review,penyusunan stream penyebatan keuangan dan sinergi lingkungan,Other,Financial Sustainability,,GRI 201 Economic Performance -> penyusunan stream penyebatan keuangan dan sinergi lingkungan,"Economic value, financial performance, and financial-inclusion wording map to GRI 201 Economic Performance 2016."
board oversight,1,needs_review,kinerja keberlanjutan aspek lingkungan dan sosial,Other,Community Relations,,GRI 413 Local Communities -> kinerja keberlanjutan aspek lingkungan dan sosial,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
competency development,1,needs_review,infrastruktur berkualitas,Other,Financial Sustainability,,Manual review -> infrastruktur berkualitas,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
competency development gap,1,needs_review,tanggung jawab laporan keberlanjutan,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> tanggung jawab laporan keberlanjutan,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
board disciplinary power,1,needs_review,komitmen terhadap keberlanjutan dan transformasi bisnis,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> komitmen terhadap keberlanjutan dan transformasi bisnis,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
board meeting attendance,1,needs_review,menciptakan nilai tambah berkelanjutan dan manfaat bagi pemangku kepentingan,Other,Financial Sustainability,,Manual review -> menciptakan nilai tambah berkelanjutan dan manfaat bagi pemangku kepentingan,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
penggunaan biodiesel,1,needs_review,solidaritas sebagai kunci kesadaran dampak lingkungan dan sosial,Other,Community Relations,,GRI 413 Local Communities -> solidaritas sebagai kunci kesadaran dampak lingkungan dan sosial,"Generic environmental-management wording is broader than a single topic standard, so it should pass through GRI 3 Material Topics before assigning the specific environmental node."
mitigasi risiko bencana alam,1,needs_review,pencapaian positif dan komitmen terhadap infrastruktur,Other,Financial Sustainability,,Manual review -> pencapaian positif dan komitmen terhadap infrastruktur,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
penilaian risiko,1,needs_review,optimasi dan efisiensi biaya untuk daya saing,Other,Financial Sustainability,,Manual review -> optimasi dan efisiensi biaya untuk daya saing,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
hasil keterlibatan pemangku kepentingan,1,needs_review,"pencapaian kinerja keberlanjutan di bidang ekonomi, lingkungan, dan sosial",Other,Community Relations,,"GRI 413 Local Communities -> pencapaian kinerja keberlanjutan di bidang ekonomi, lingkungan, dan sosial",Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
anti-corruption certification,1,needs_review,"fokus kinerja keberlanjutan pada distribusi nilai ekonomi, pengurangan dampak lingkungan, dan pemberdayaan masyarakat",Other,Community Relations,,"GRI 413 Local Communities -> fokus kinerja keberlanjutan pada distribusi nilai ekonomi, pengurangan dampak lingkungan, dan pemberdayaan masyarakat",Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
manajemen produk,1,needs_review,pertumbuhan bisnis berkelanjutan di masa depan,Other,Financial Sustainability,,GRI 201 Economic Performance 2016 -> pertumbuhan bisnis berkelanjutan di masa depan,Long-term value creation and sustainable-growth wording map to GRI 201 Economic Performance 2016.
pengelolaan produk,1,needs_review,metrics,Other,Financial Sustainability,,Manual review -> metrics,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
hubungan pelanggan,1,needs_review,environmental sustainability and climate governance,Other,Governance & Ethics,,GRI 205 Anti-corruption / GRI 2 Governance -> environmental sustainability and climate governance,"Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
komitmen keamanan dan kenyamanan konsumen,1,needs_review,financial inclusion for underbanked and umkm,Other,Financial Sustainability,,GRI 201 Economic Performance -> financial inclusion for underbanked and umkm,"Economic value, financial performance, and financial-inclusion wording map to GRI 201 Economic Performance 2016."
ketahanan menghadapi tantangan,1,needs_review,women's leadership and empowerment,Other,Financial Sustainability,,Manual review -> women's leadership and empowerment,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
program nutrisi anak,1,needs_review,biodiversity and climate action,Other,Energy & Climate,,GRI 305 Emissions / TCFD Climate -> biodiversity and climate action,"Emissions, GHG, and carbon-performance wording map to GRI 305 Emissions 2016."
penggunaan standar internasional gri,1,needs_review,waste reduction,Other,Waste & Pollution,,GRI 306 Waste / GRI 303 Water -> waste reduction,"Waste generation, recycling, and waste-management wording map to GRI 306 Waste 2020."
pencapaian anniversary,1,needs_review,gender diversity in leadership,Other,Human Capital,,Manual review -> gender diversity in leadership,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
komitmen pelayanan dan pertumbuhan berkelanjutan,1,needs_review,employee training,Other,Human Capital,,GRI 401-404 Employment and Training -> employee training,"Training, competence, and workforce-development wording map to GRI 404 Training and Education 2016."
program bantuan nutrisi anak,1,needs_review,csr funding,Other,Community Relations,,GRI 413 Local Communities -> csr funding,"Community impact, CSR, and stakeholder-engagement wording map to GRI 413 Local Communities 2016."
ruang lingkup laporan esg,1,needs_review,financial literacy programs,Other,Financial Sustainability,,GRI 201 Economic Performance -> financial literacy programs,"Economic value, financial performance, and financial-inclusion wording map to GRI 201 Economic Performance 2016."
service,1,needs_review,accessibility and financial inclusion,Other,Financial Sustainability,,GRI 201 Economic Performance -> accessibility and financial inclusion,"Economic value, financial performance, and financial-inclusion wording map to GRI 201 Economic Performance 2016."
topik material,1,needs_review,land rehabilitation program,Other,Biodiversity & Land,,GRI 304 Biodiversity -> land rehabilitation program,"Biodiversity and land-rehabilitation wording should redirect to GRI 101 Biodiversity 2024, which supersedes GRI 304."
keberadaan pasar,1,needs_review,water discharge,Other,Waste & Pollution,,GRI 306 Waste / GRI 303 Water -> water discharge,"Water withdrawal, water management, and effluent topics map to GRI 303 Water and Effluents 2018."
mitigasi risiko,1,needs_review,employment,Other,Human Capital,,GRI 401 Employment 2016 -> employment,General workforce and employment wording map to GRI 401 Employment 2016.
inovasi produk,1,needs_review,"governance, ethics",Other,Governance & Ethics,,"GRI 205 Anti-corruption / GRI 2 Governance -> governance, ethics","Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
sistem peringatan dini,1,needs_review,water quality management,Other,Waste & Pollution,,GRI 306 Waste / GRI 303 Water -> water quality management,"Water withdrawal, water management, and effluent topics map to GRI 303 Water and Effluents 2018."
target pengurangan,1,needs_review,commitment to environmental impact minimization,Other,Financial Sustainability,,Manual review -> commitment to environmental impact minimization,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
pemanfaatan material,1,needs_review,waste data management process,Other,Waste & Pollution,,GRI 306 Waste / GRI 303 Water -> waste data management process,"Waste generation, recycling, and waste-management wording map to GRI 306 Waste 2020."
kesinambungan produksi,1,needs_review,environmental performance evaluation,Other,Financial Sustainability,,Manual review -> environmental performance evaluation,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
skor esg,1,needs_review,hazardous waste segregation and control,Other,Waste & Pollution,,GRI 306 Waste / GRI 303 Water -> hazardous waste segregation and control,"Waste generation, recycling, and waste-management wording map to GRI 306 Waste 2020."
perbandingan industri,1,needs_review,pollution prevention measures,Other,Waste & Pollution,,GRI 306 Waste / GRI 303 Water -> pollution prevention measures,Existing environment mapping was normalized to the waste standard.
dimensi environmental,1,needs_review,scope 1 & 2 emissions reduction,Other,Governance & Ethics,,GRI 305 Emissions / TCFD Climate -> scope 1 & 2 emissions reduction,Reporting scope and disclosure framing align with GRI 2 General Disclosures.
dimensi social,1,needs_review,used oil reuse for anfo,Other,Financial Sustainability,,Manual review -> used oil reuse for anfo,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
target peningkatan,1,needs_review,anti-bribery management system,Other,Governance & Ethics,,GRI 205 Anti corruption 2016 -> anti-bribery management system,Anti-bribery controls and certifications map to GRI 205 Anti-corruption 2016.
penghargaan esg dan grc,1,needs_review,ethics compliance,Other,Governance & Ethics,,GRI 205 Anti-corruption / GRI 2 Governance -> ethics compliance,"Compliance, ethics, whistleblowing, and anti-corruption controls map to GRI 205 Anti-corruption 2016."
general_esg_disclosure,1,needs_review,local procurement,Other,Supply Chain,,GRI 308/414 Supplier Assessment -> local procurement,Procurement wording maps to GRI 204 Procurement Practices 2016.
pengelolaan kepegawaian,1,needs_review,renewable energy adoption,Other,Energy & Climate,,GRI 305 Emissions / TCFD Climate -> renewable energy adoption,"Energy consumption, intensity, or renewable-energy operations stay under GRI 302 Energy 2016 in the current transition period."
standar pengukuran,1,needs_review,solar power plant operation,Other,Financial Sustainability,,Manual review -> solar power plant operation,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
fungsi komite esg,1,needs_review,solar energy initiatives,Other,Energy & Climate,,GRI 305 Emissions / TCFD Climate -> solar energy initiatives,"Energy consumption, intensity, or renewable-energy operations stay under GRI 302 Energy 2016 in the current transition period."
penerapan prinsip esg,1,needs_review,solar pv generation,Other,Financial Sustainability,,Manual review -> solar pv generation,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
keyakinan bisnis berkelanjutan,1,needs_review,cost savings from solar,Other,Financial Sustainability,,Manual review -> cost savings from solar,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
operasional tambang,1,needs_review,environmental benefits of solar,Other,Financial Sustainability,,Manual review -> environmental benefits of solar,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
risiko bisnis,1,needs_review,emissions reduction by sector,Other,Energy & Climate,,GRI 306 Waste / GRI 303 Water -> emissions reduction by sector,"Emissions, GHG, and carbon-performance wording map to GRI 305 Emissions 2016."
peluang diversifikasi,1,needs_review,water management policy,Other,Waste & Pollution,,GRI 306 Waste / GRI 303 Water -> water management policy,"Water withdrawal, water management, and effluent topics map to GRI 303 Water and Effluents 2018."
peluang ekspansi,1,needs_review,legal compliance for water use,Other,Governance & Ethics,,GRI 205 Anti-corruption / GRI 2 Governance -> legal compliance for water use,"Compliance, ethics, whistleblowing, and anti-corruption controls map to GRI 205 Anti-corruption 2016."
risiko reputasi,1,needs_review,limited surface water use,Other,Waste & Pollution,,GRI 306 Waste / GRI 303 Water -> limited surface water use,"Water withdrawal, water management, and effluent topics map to GRI 303 Water and Effluents 2018."
peluang kepercayaan,1,needs_review,reklamasi lahan pasca-tambang,Other,Biodiversity & Land,,GRI 304 Biodiversity -> reklamasi lahan pasca-tambang,"Biodiversity and land-rehabilitation wording should redirect to GRI 101 Biodiversity 2024, which supersedes GRI 304."
risiko hukum,1,needs_review,pengelolaan limbah non-b3,Other,Waste & Pollution,,GRI 306 Waste / GRI 303 Water -> pengelolaan limbah non-b3,"Waste generation, recycling, and waste-management wording map to GRI 306 Waste 2020."
risiko reklamasi,1,needs_review,kolaborasi dengan bank sampah,Other,Waste & Pollution,,GRI 306 Waste / GRI 303 Water -> kolaborasi dengan bank sampah,"Waste generation, recycling, and waste-management wording map to GRI 306 Waste 2020."
misi operasional berkelanjutan,1,needs_review,jam pelatihan karyawan,Other,Human Capital,,GRI 401-404 Employment and Training -> jam pelatihan karyawan,"Training, competence, and workforce-development wording map to GRI 404 Training and Education 2016."
efisiensi sumber daya,1,needs_review,biaya pelatihan karyawan,Other,Human Capital,,GRI 401-404 Employment and Training -> biaya pelatihan karyawan,"Training, competence, and workforce-development wording map to GRI 404 Training and Education 2016."
transparansi,1,needs_review,karyawan baru,Other,Human Capital,,GRI 401-404 Employment and Training -> karyawan baru,General workforce and employment wording map to GRI 401 Employment 2016.
sistem tjsl,1,needs_review,kepatuhan terhadap kode etik,Other,Governance & Ethics,,GRI 205 Anti-corruption / GRI 2 Governance -> kepatuhan terhadap kode etik,"Compliance, ethics, whistleblowing, and anti-corruption controls map to GRI 205 Anti-corruption 2016."
pengakuan tjsl,1,needs_review,komite esg,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> komite esg,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
pengukuran kinerja tjsl,1,needs_review,corporate governance and transparency,Other,Governance & Ethics,,GRI 205 Anti-corruption / GRI 2 Governance -> corporate governance and transparency,"Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
peningkatan kapasitas,1,needs_review,commitment to sustainability integration,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> commitment to sustainability integration,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
transparansi pengelolaan,1,needs_review,environmental sustainability initiatives,Other,Waste & Pollution,,GRI 3 Material Topics 2021 -> environmental sustainability initiatives,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
mekanisme pengawasan,1,needs_review,financial inclusion and community empowerment,Other,Community Relations,,GRI 413 Local Communities -> financial inclusion and community empowerment,"Community impact, CSR, and stakeholder-engagement wording map to GRI 413 Local Communities 2016."
pelestarian ekosistem,1,needs_review,women empowerment and leadership,Other,Financial Sustainability,,Manual review -> women empowerment and leadership,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
restorasi lokasi,1,needs_review,prevention of forced labor and fair labor practices,Other,Waste & Pollution,,GRI 306 Waste / GRI 303 Water -> prevention of forced labor and fair labor practices,"Water withdrawal, water management, and effluent topics map to GRI 303 Water and Effluents 2018."
operasi bisnis berkelanjutan,1,needs_review,prevention of child labor,Other,Human Capital,,GRI 401-404 Employment and Training -> prevention of child labor,Existing workforce mapping was normalized to the employment standard.
performa finansial,1,needs_review,safe and healthy work environment,Other,Financial Sustainability,,Manual review -> safe and healthy work environment,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
prakarsa ekologis,1,needs_review,employee training and development,Other,Human Capital,,GRI 401-404 Employment and Training -> employee training and development,"Training, competence, and workforce-development wording map to GRI 404 Training and Education 2016."
pengakuan industri,1,needs_review,internal capacity building for sustainability,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> internal capacity building for sustainability,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
tanggung jawab ekologis,1,needs_review,occupational health and safety,Other,Human Capital,,GRI 403 Occupational Health and Safety 2018 -> occupational health and safety,"Worker safety, health, and accident-prevention wording map to GRI 403 Occupational Health and Safety 2018."
transformasi organisasi,1,needs_review,impact of digital operations on communities,Other,Governance & Ethics,,Governance / Data and Technology -> impact of digital operations on communities,Existing governance-oriented mapping was normalized to the canonical GRI 2 path.
keselarasan dengan sdgs,1,needs_review,corporate social responsibility activities,Other,Financial Sustainability,,Manual review -> corporate social responsibility activities,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
komitmen nilai jangka panjang,1,needs_review,increase in csr funding,Other,Community Relations,,GRI 413 Local Communities -> increase in csr funding,"Community impact, CSR, and stakeholder-engagement wording map to GRI 413 Local Communities 2016."
pengelolaan ketenagakerjaan,1,needs_review,nilai tambah berkelanjutan dan ketahanan bisnis,Other,Financial Sustainability,,Manual review -> nilai tambah berkelanjutan dan ketahanan bisnis,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
pertumbuhan bertanggung jawab,1,needs_review,strategi gcg,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> strategi gcg,"Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
kompetensi sumber daya manusia,1,needs_review,pedoman gcg,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> pedoman gcg,"Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
pertumbuhan bisnis dan nilai perusahaan,1,needs_review,implementasi tata kelola perusahaan,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> implementasi tata kelola perusahaan,"Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
pengawasan internal,1,needs_review,penilaian gcg,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> penilaian gcg,"Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
kesetaraan gender,1,needs_review,wastewater management for supporting activities using ipal,Other,Waste & Pollution,,GRI 306 Waste / GRI 303 Water -> wastewater management for supporting activities using ipal,"Water withdrawal, water management, and effluent topics map to GRI 303 Water and Effluents 2018."
risiko dan peluang,1,needs_review,effluent quality monitoring,Other,Waste & Pollution,,GRI 303 Water and Effluents 2018 -> effluent quality monitoring,"Water withdrawal, water management, and effluent topics map to GRI 303 Water and Effluents 2018."
instalasi beton porous dan sumur resapan,1,needs_review,compliance with wastewater regulations,Other,Governance & Ethics,,GRI 205 Anti-corruption / GRI 2 Governance -> compliance with wastewater regulations,"Compliance, ethics, whistleblowing, and anti-corruption controls map to GRI 205 Anti-corruption 2016."
komponen esg,1,needs_review,water use monitoring with flow meters,Other,Waste & Pollution,,GRI 306 Waste / GRI 303 Water -> water use monitoring with flow meters,"Water withdrawal, water management, and effluent topics map to GRI 303 Water and Effluents 2018."
komitmen pembangunan berkelanjutan,1,needs_review,consistent calculation methodology,Other,Financial Sustainability,,Manual review -> consistent calculation methodology,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
kontribusi sdgs,1,needs_review,automatic wastewater monitoring system,Other,Waste & Pollution,,GRI 306 Waste / GRI 303 Water -> automatic wastewater monitoring system,"Water withdrawal, water management, and effluent topics map to GRI 303 Water and Effluents 2018."
program kesehatan anak,1,needs_review,water collection for operational use,Other,Waste & Pollution,,GRI 306 Waste / GRI 303 Water -> water collection for operational use,"Water withdrawal, water management, and effluent topics map to GRI 303 Water and Effluents 2018."
penghargaan integritas bisnis,1,needs_review,improvement of measurement recording,Other,Financial Sustainability,,Manual review -> improvement of measurement recording,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
strategi pertumbuhan bisnis,1,needs_review,future efforts for data improvement,Other,Governance & Ethics,,Governance / Data and Technology -> future efforts for data improvement,Existing governance-oriented mapping was normalized to the canonical GRI 2 path.
tantangan dan mitigasi bisnis,1,needs_review,water withdrawal data by source,Other,Waste & Pollution,,GRI 306 Waste / GRI 303 Water -> water withdrawal data by source,"Water withdrawal, water management, and effluent topics map to GRI 303 Water and Effluents 2018."
inovasi layanan omnichannel,1,needs_review,business transformation and sustainable ecosystem,Other,Financial Sustainability,,Manual review -> business transformation and sustainable ecosystem,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
reporting,1,needs_review,restructuring and transformation for sustainable goals,Other,Financial Sustainability,,Manual review -> restructuring and transformation for sustainable goals,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
regulatory framework,1,needs_review,solidarity and awareness of environmental and social impacts,Other,Community Relations,,GRI 413 Local Communities 2016 -> solidarity and awareness of environmental and social impacts,"Community impact, CSR, and stakeholder-engagement wording map to GRI 413 Local Communities 2016."
reporting standard,1,needs_review,penciptaan nilai berkelanjutan bagi pemangku kepentingan,Other,Financial Sustainability,,GRI 201 Economic Performance 2016 -> penciptaan nilai berkelanjutan bagi pemangku kepentingan,Long-term value creation and sustainable-growth wording map to GRI 201 Economic Performance 2016.
company milestone,1,needs_review,komitmen penerapan keberlanjutan,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> komitmen penerapan keberlanjutan,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
customer service,1,needs_review,pembangunan fondasi gcg,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> pembangunan fondasi gcg,"Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
commitment to progress,1,needs_review,komposisi organ tata kelola,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> komposisi organ tata kelola,"Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
business growth,1,needs_review,employee integrity commitment,Other,Governance & Ethics,,GRI 401-404 Employment and Training -> employee integrity commitment,Existing workforce mapping was normalized to the employment standard.
